"vehiculo","filtro","created_at","updated_at"
342,342,"2013-04-28 18:08:41","2013-04-28 18:08:41"
343,342,"2013-04-28 18:08:41","2013-04-28 18:08:41"
351,342,"2013-04-28 18:08:42","2013-04-28 18:08:42"
354,342,"2013-04-28 18:08:42","2013-04-28 18:08:42"
342,342,"2013-04-28 18:09:05","2013-04-28 18:09:05"
343,342,"2013-04-28 18:09:05","2013-04-28 18:09:05"
351,342,"2013-04-28 18:09:06","2013-04-28 18:09:06"
354,342,"2013-04-28 18:09:07","2013-04-28 18:09:07"
149,342,"2013-04-28 18:09:36","2013-04-28 18:09:36"
164,342,"2013-04-28 18:09:37","2013-04-28 18:09:37"
179,342,"2013-04-28 18:09:39","2013-04-28 18:09:39"
351,342,"2013-04-28 18:26:44","2013-04-28 18:26:44"
1226,342,"2013-04-28 18:27:51","2013-04-28 18:27:51"
95,343,"2013-04-28 18:09:18","2013-04-28 18:09:18"
97,343,"2013-04-28 18:09:19","2013-04-28 18:09:19"
98,343,"2013-04-28 18:09:19","2013-04-28 18:09:19"
108,343,"2013-04-28 18:09:32","2013-04-28 18:09:32"
109,343,"2013-04-28 18:09:32","2013-04-28 18:09:32"
110,343,"2013-04-28 18:09:32","2013-04-28 18:09:32"
118,343,"2013-04-28 18:09:33","2013-04-28 18:09:33"
120,343,"2013-04-28 18:09:33","2013-04-28 18:09:33"
121,343,"2013-04-28 18:09:33","2013-04-28 18:09:33"
124,343,"2013-04-28 18:09:33","2013-04-28 18:09:33"
221,343,"2013-04-28 18:09:43","2013-04-28 18:09:43"
222,343,"2013-04-28 18:09:44","2013-04-28 18:09:44"
223,343,"2013-04-28 18:09:44","2013-04-28 18:09:44"
225,343,"2013-04-28 18:09:44","2013-04-28 18:09:44"
327,343,"2013-04-28 18:10:52","2013-04-28 18:10:52"
331,343,"2013-04-28 18:10:53","2013-04-28 18:10:53"
334,343,"2013-04-28 18:10:53","2013-04-28 18:10:53"
336,343,"2013-04-28 18:10:54","2013-04-28 18:10:54"
4,343,"2013-04-28 18:23:03","2013-04-28 18:23:03"
4,343,"2013-04-28 18:23:03","2013-04-28 18:23:03"
4,343,"2013-04-28 18:23:06","2013-04-28 18:23:06"
4,343,"2013-04-28 18:23:06","2013-04-28 18:23:06"
4,343,"2013-04-28 18:23:07","2013-04-28 18:23:07"
4,343,"2013-04-28 18:23:27","2013-04-28 18:23:27"
4,343,"2013-04-28 18:23:27","2013-04-28 18:23:27"
4,343,"2013-04-28 18:23:27","2013-04-28 18:23:27"
4,343,"2013-04-28 18:23:32","2013-04-28 18:23:32"
4,343,"2013-04-28 18:23:33","2013-04-28 18:23:33"
4,343,"2013-04-28 18:23:34","2013-04-28 18:23:34"
1379,343,"2013-04-28 18:28:52","2013-04-28 18:28:52"
1381,343,"2013-04-28 18:28:53","2013-04-28 18:28:53"
1411,343,"2013-04-28 18:28:58","2013-04-28 18:28:58"
1443,343,"2013-04-28 18:29:02","2013-04-28 18:29:02"
1779,343,"2013-04-28 18:29:55","2013-04-28 18:29:55"
2791,343,"2013-04-28 18:32:06","2013-04-28 18:32:06"
3129,343,"2013-12-20 10:33:17","2013-12-20 10:33:17"
3129,343,"2013-12-20 10:33:17","2013-12-20 10:33:17"
3165,343,"2013-12-20 10:33:17","2013-12-20 10:33:17"
3166,343,"2013-12-20 10:33:17","2013-12-20 10:33:17"
3166,343,"2013-12-20 10:33:17","2013-12-20 10:33:17"
3401,343,"2013-12-20 10:33:23","2013-12-20 10:33:23"
3403,343,"2013-12-20 10:33:23","2013-12-20 10:33:23"
3405,343,"2013-12-20 10:33:23","2013-12-20 10:33:23"
3129,343,"2013-12-20 10:34:21","2013-12-20 10:34:21"
3129,343,"2013-12-20 10:34:21","2013-12-20 10:34:21"
3165,343,"2013-12-20 10:34:40","2013-12-20 10:34:40"
3166,343,"2013-12-20 10:34:40","2013-12-20 10:34:40"
3166,343,"2013-12-20 10:34:40","2013-12-20 10:34:40"
3401,343,"2013-12-20 10:35:09","2013-12-20 10:35:09"
3403,343,"2013-12-20 10:35:09","2013-12-20 10:35:09"
3405,343,"2013-12-20 10:35:09","2013-12-20 10:35:09"
4,343,"2013-12-20 10:35:10","2013-12-20 10:35:10"
3472,343,"2013-12-20 10:35:11","2013-12-20 10:35:11"
3479,343,"2013-12-20 10:35:11","2013-12-20 10:35:11"
77,344,"2013-04-28 18:09:16","2013-04-28 18:09:16"
78,344,"2013-04-28 18:09:16","2013-04-28 18:09:16"
79,344,"2013-04-28 18:09:16","2013-04-28 18:09:16"
80,344,"2013-04-28 18:09:16","2013-04-28 18:09:16"
274,344,"2013-04-28 18:10:46","2013-04-28 18:10:46"
275,344,"2013-04-28 18:10:47","2013-04-28 18:10:47"
276,344,"2013-04-28 18:10:47","2013-04-28 18:10:47"
867,344,"2013-04-28 18:27:13","2013-04-28 18:27:13"
1809,344,"2013-04-28 18:29:59","2013-04-28 18:29:59"
1811,344,"2013-04-28 18:29:59","2013-04-28 18:29:59"
1812,344,"2013-04-28 18:30:00","2013-04-28 18:30:00"
1815,344,"2013-04-28 18:30:00","2013-04-28 18:30:00"
1816,344,"2013-04-28 18:30:01","2013-04-28 18:30:01"
1817,344,"2013-04-28 18:30:01","2013-04-28 18:30:01"
1818,344,"2013-04-28 18:30:01","2013-04-28 18:30:01"
1822,344,"2013-04-28 18:30:02","2013-04-28 18:30:02"
2301,344,"2013-04-28 18:31:10","2013-04-28 18:31:10"
2322,344,"2013-04-28 18:31:13","2013-04-28 18:31:13"
2335,344,"2013-04-28 18:31:14","2013-04-28 18:31:14"
2355,344,"2013-04-28 18:31:17","2013-04-28 18:31:17"
66,346,"2013-04-28 18:09:15","2013-04-28 18:09:15"
103,346,"2013-04-28 18:09:31","2013-04-28 18:09:31"
106,346,"2013-04-28 18:09:31","2013-04-28 18:09:31"
106,346,"2013-04-28 18:09:32","2013-04-28 18:09:32"
983,346,"2013-04-28 18:27:31","2013-04-28 18:27:31"
1334,346,"2013-04-28 18:28:45","2013-04-28 18:28:45"
1384,346,"2013-04-28 18:28:53","2013-04-28 18:28:53"
1387,346,"2013-04-28 18:28:53","2013-04-28 18:28:53"
1456,346,"2013-04-28 18:29:03","2013-04-28 18:29:03"
1457,346,"2013-04-28 18:29:03","2013-04-28 18:29:03"
