ALEKO,,,,
1800 diesel,H2048,Z5105,J3248,
2141,H2085,Z5105,J3154,
NIDA 1.7  motor BA 321214,,,J3562 (PA),
,,,,
ALFAROMEO,,,,
33 c/m 1.7.,H2048,,J3122 (PA),
145 QUADRIFOGLIO,H2048,,J3397 (PA),
1462.0 Turbo diesel. 1552.0 Turbo diesel,H2075,P5136,J3022 (PA),
1552.0 TS,H2048,,J3333 (PA),
1642.0 TS,H2048,,J3123 (PA),
1643.0 V6,H2076,,,
1662.5 V6,,,J3666,
ASIA/KIA,,,,
KIA AVELLA GLXI1.6,H2039,,,
KIA PRIDE1.4,H2039,,J3155,
SEPHIA 1.5. 1.6. 16 válvulas,H2039,,J3425 (PA),
SPORTAGE DLX diesel,H2120,,J3426 (PA),
TOWNERR 900,H2039,,,
,,,,
AUDI,,,,
80/100,H2086,Z5105,J3279,
802.0,H2086,,,
1002.8,H2086,,,
A 62.4 naftero,H2069,,J3450 (PA),
CABRIOLET V6  2.8,H2086,,,
S2 turbo,H2086,,,
S4 turbo,H2086,,,
,,,,
BMW,,,,
316. 318. 4 cilindros,H2063,,J3117,
316i 16V. 318i IS.16V. 320 6 CIL. 325 ESi,,,J3413 (PA),
318i,,,J3427 (PA),
320. 323. 520. 528. 6 cilindros,H2085,,,
320,,,J3451 (PA),
325,,,J3007 (PA),
325i 4 cilindros,H2086,,,
518i. 16V. 520i. 525i. 528E. 750i. 850i,,,J3413 (PA),
,,,,
CHEVROLET / GMC,,,,
AGILE 1.4 L 92 CV,H2159,N1008,J3176 (PA),
400. CHEVY. OPEL,H2057,Z5105,,
ASTRA 2.0. 8V y 2.0.16V,H2159,,J3445 (PA),
ASTRA 1.7 DTI 16V,T2187,Z5147,J3445 (PA),
ASTRA GLS turbo diesel 2.0. 16V,T2187,Z5147,J3445 (PA),
ASTRA GLS turbo diesel 2.0 TDI 16V,T2187,Z5147,J3445 (PA),
ASTRA. turbo diesel ,H2159,P5136,J3447 (PA),
AVEO,H2159,,J3697 (PA),
CORSA 1.2. 1.6ie naftero 8V Y16V,H2159,,J3176 (PA),
CORSA CITY1.7 diesel,H2155,P5136,J3383 (PA),
CORSA 2. motor 1.7 TD,T2204,Z5147,J3497 (PA),
CORSA  2. motor 1.8 naftero,H2159,,J3497 (PA),
CORSA  CLASSIC 1.6. nafta inyecc,H2159,,J3176 (PA),
CORSA. motor 1.7diesel,H2173,P5136,J3383 (PA),
CORSA. motor ISUZU 1.7 Aspiracion normal diesel,H2155,P5136,J3383 (PA),
CRUZE 1.8 16 V naftero,T2218E,,,
CRUZE 2.0 16 V VCDI 150 CV,,,,
CHEVETTE 1.4. 1.6S. CHEVY 500 1.6S,H2058,Z5105,J3133,
CHEVETTE 1.4. 1.6S. CHEVY 500 1.6S,H2058,Z5105,J3276,
IPANEMA. MONZA. OMEGA,H2159,,,
PRISMA 1.4 naftero,H2159,N1008,J3506 (PA),
KADETT,H2159,,J3189,
MONZA MPFI,H2159,,,
OPEL VECTRA,H2173,,,
VECTRA CD OPEL VECTRA 2.0 GLSI,H2159,,J3379 (PA),
VECTRA. motor 2.0. 2.2 naftero,H2159,,J3423 (PA),
VECTRA 2.4,H2159,,J3423 (PA) , J3445 (PA)
VECTRA c/m  2.0  16V turbo diesel,T2187,Z5147,J3422 (PA),
TIGRA 16V,H2159,,J3176 (PA),
LUMINA APV3. 1L. V6,H2059,,J3581,
ZAFIRA 16V,H2159,,J3445 (PA),
SPAR KL SLT 1.0 SOHC8V,H2148,,,
,,,,
CHERY,,,,
CHERY FACE,H2063,N1008,,
TIGGO motor  2.0  L 16 V,H2094,,,
CHERY QQ 1.1,,,,
CHERY QQ 1.1,H2148,,,
CHERY SKIN 1.6 16 VALVULA,H2094,N1008,,
,,,,
CITROEN,,,,
3CV,,,,
3CV. AMI 8. MEHARI,H2053,Z5105,J3119 , J3120
AMI8. MEHARI,,,,
AURA ZX 1900 turbo diesel,H2119,Z5133,J3239,
GSA. GSX3. GS BREAK ESPECIAL,H2055,Z5105,,
PALLAS. CX. 2.4 GTI,H2081,Z5105,,
VISA diesel,H2056,,,
VISA naftero,H2056,Z5105,J3159,
VISA. DYANE,H2056,Z5105,,
XANTIA 1.9TD. SX,H2119,Z5133,J3238,
CITROEN (Continuacion),,,,
XANTIA 2.0iSX. 2.0iVSX,H2119,,J3239,
XSARA diesel motor 1.9,H2119,Z5133,,
XSARA motor 1.8i - 16V,H2119,,,
XSARA turbo diesel motor 1.9,H2119,Z5133,J3239,
XSARA SX 1.9TD,H2119,Z5133,J3459,
XSARA 1.9 diesel,H2119,Z5185E,J3383 (PA),
XSARA 1.9 diesel,H2119,Z5184,J3340,
XSARA EXCLUSIVE 1.6I  16V naftero,T2207E,,,
XSARA  PICASSO 1.16,T2207E,Z5185E,J3475 (PA),
XSARA 1.6I 16V naftero,,,,
XSARA PICASSO 2.0 HDI,H2201,Z5187E,J3496 (PA),
C2 1.1 motor HFZ (TU1A),,,J3560 (PA),
C3 1.1 motor HFZ (TU1JP),,,J3560 (PA),
C3 1.4 IX .1.4 ISX. 1.6 16V  Exclusive,T2207E,,J3560 (PA),
C3 1.4 HDI. 1.4 HDISX. 1.4 HDI Exclusive,T2207E,P5205,J3496 (PA),
C3 1.4 HDI. 1.4 HDISX. 1.4 HDI Exclusive,T2219E,P5205,J3495 (PA),
C3 Exclusive 1.6I 16 VNFU (NFU5JP4),T2207E,,J3560 (PA),
C4 1.6 HDI,T2218E,,,
C4 2.0 HDI 135 CV,H2119,Z5187E,J3480 (PA),
C4 1.6 X 16 VALVULA,T2207E,,J3663 (PA),
C4  2.0 Naftero,T2207E,N1016,J3694(PA),
C4  HDI,,,J3716(PA),
C5 SX 2.0 16V EW10J4,H2119,,J3238 (PA),
C5 EXCLUSIVE V6 3.0 IV6ES9J4S,H2119,,J3238 (PA),
C5 SX HDI 1102. 0H DI 110DW10ATED,H2119,Z5185E,J3238 (PA),
C5 3.0 I -24VV6 (210HP) motor ES9A,T2207E,,J3564 (PA),
EVASION VSX TURBO 2.0I,H2118,,J3238 (PA),
,,,,
DACIA,,,,
1410 TLX. 1210. 1300. 1310,H2123,Z5105,J3248,
,,,,
DAEWOO,,,,
CIELO 1.5ie,H2058,,J3395 (PA),
ESPERO STD.DLX,H2159,,J3395 (PA),
LANOSS. SX. naftero. motor 1.5 8V. 1.6 16V,H2159,,,
LEGANZA SX. CDX. naftero. motor 2.0 16V,H2159,,,
MATIZ Inyeccion 900cc,H2178,,,
NUBIRA SX.CDX. naftero. motor 1.6.2.0.16V,H2159,,,
PRINCE SUPER SALOON,H2159,,,
RACER,H2159,,,
TICO SL.SX,H2178,,,
,,,,
DAHIATSU,,,,
APPLAUSE 1.6X,H2065,,,
CUORE,H2146,,,
CUORE,H2063,,J3140,
CHARADE,H2063,,J3138,
CHARADE SG 1300,H2146,,,
CHARMANT,H2068,,J3139,
FEROZA 1.6,H2146,,,
TERIOS,H2146,,,
MIRA,H2146,,,
MOVE,H2146,,,
SIRION,H2146,,,
,,,,
DODGE / CHRYSLER,,,,
1500  c/carburador STROMBERG,H2068,Z5105,J3148,
1500 1.8 c/carburador HOLLEY,H2068,Z5105,J3149,
GT 90,H2068,Z5105,J3145,
GT 100,H2068,Z5105,J3146,
GTX. POLARA. CORONADO               ,H2069,Z5105,J3150,
INTREPID V6. 3.3. 3.5L,H2068,,,
NEON 2.0 L 16V,H2178,,J3335 (PA),
NEON 2.0 L,H2063,,J3504,
SHADOW 2.2L. 2.5L,H2068,,J3187,
SPIRIT,H2068,,J3335 (PA),
STRATUS,,,J3470 (PA),
STRATUS 2.0L. 2.4L,H2178,,,
STRATUS 2.5L. V6 24V,H2068,,,
VALIANT,T2071,Z5105,J3151,
VALIANT,H2069,Z5105,J3151,
,,,,
FIAT,,,,
125.125 COUPE,H2075,Z5105,J3154,
128.128 FAMILIAR. IAVA,H2075,Z5105,J3156,
128SE 1.5,H2076,Z5105,J3166,
128SE 1.3. CL. TR. motor 1.3 C/A/A,H2076,Z5105,J3156,
128SE 1.3. CL. TR. motor 1.3 S/A/A,H2076,Z5105,J3155,
128SE 1.5. CL. TR. motor 1.5,H2076,Z5105,J3166,
133.133 TOP IAVA,H2068,Z5105,J3157,
147C. GL,H2068,Z5105,J3157,
147CL. CL5. TR5. TR5  SORPASSO IAVA,H2076,Z5105,J3155,
147. SPAZIO diesel 1.3,H2048,P5074 , P5136,
147. SPAZIO diesel 1.3,H2048,P5074 , P5136,J3167
1500.1500 COUPE,H2074,Z5105,J3158 , J3159
1600.1600 COUPE,H2074,Z5105,J3178,
600D. E,T2072,Z5105,J3162,
600R,H2073,Z5105,J3163,
600S,H2068,Z5105,J3163,
FIAT(Continuacion),,,,
BRAVO motor 2.0L,H2183,,J3397 (PA),
BRAVO ESSENCE E-TORQ 1.8 16 V,,,,
BRIO (todos),H2078,Z5105,J3155,
DUNA CS diesel,H2075,P5074 , P5136,J3165 (PA)
DUNA S. SC motor 1.3,H2076,Z5105,J3155,
DUNA S motor Tipo 1.4 naftero,H2048,Z5105,J3300,
DUNA S. SC. SL. SCL motor tipo 1.4 (Argentina),H2076,Z5105,J3167,
DUNA S. SC. SL. SCL  Tipo 1.4 (Brasil),H2076,Z5105,J3179 (PA),
DUNA SCV. SCX motor 1.5,H2076,Z5105,J3166,
DUNA SD. SDL motor diesel 1.3,H2048,P5074 , P5136,J3171
DUNA SD. SDL motor diesel 1.3,H2048,P5074 , P5136,J3173 (PA)
DUNA SDV. SD. WEEKEND motor diesel 1.7,H2075,P5074 , P5136,J3165 (PA)
DUNA motor diesel 1.7,H2183,P5136,J3355 (PA),
DUNA SL. SCV. SCR. WEEKEND motor Tipo1.6 (Argentina),H2076,Z5105,J3167,
DUNA SL. SCV. SCR. WEEKEND motor Tipo 1.6 (Brasil),H2076,Z5105,J3179 (PA),
DUNA SX. WEEKEND 1.7 diesel SX,H2075,P5074 , P5136,J3355 (PA)
MAREA 1.6 16V MPI 6 cilindros,H2183,,J3397 (PA),
MAREA 1.9 turbo diesel. 100 SX,H2183,P5136,J3397 (PA),
MAREA 2.0  VMPI 5cilindros,H2183,,J3397 (PA),
PALIO EL. HL. WEEKEND. naftero motor 1.6ie-8V/16V,H2183,,J3174 (PA),
PALIO EL. HL. WEEKEND. turbo diesel motor 1.7,H2075,P5136,J3174 (PA),
PALIO. WEEKEND FIRE 1.0 8V/1.0 16V/ 1.3 16V,H2201,,J3174 (PA),
PALIO NUEVO HLX 1.8  8V,H2159,,J3174 (PA),
PALIO FIRE 1.3 16 V,H2201,,J3179 (PA),
PALIO ADVENTURE 1.6 naftero,,N1012,,
FIAT UNO FIRE 1.3 naftero,H2201,,J3179 (PA),
PALIO YOUNG FIRE 1.0 MPI 8V,H2201,,J3174 (PA),
PALIO FIRE 1.6  8V,H2183,,J3179 (PA),
PALIO ESSENCE  ADVENTURE  E-TORQ 16 16 V,,,,
PALIO ETORQ ESSENCE 1.6 16 V,,,,
PUNTO FIRE 1.4,H2201,,J3625 (PA),
PALIO  1.4 FIRE,H2201,N1012,J3714(PA),
PUNTO FIRE1.8,H2159,,J3626 (PA),
PUNTO 1.3 JTD,T2227E,,J3702 (PA),
PUNTO 1.4 ETORQ ESSENCE 1.6 16 V,,N1011,,
IDEA HLX 1.8,H2159,,J3179 (PA),
IDEA ESSENCE FLEX 1.6 16 V E TORQ,,,,
IDEA SPORTING E-TORQ FLEX 1.8 16 V,,,,
AVENTURE 1.8 HLX. motor CHEVROLET,H2159,,J3179 (PA),
REGATTA 85,H2076,Z5105,J3166,
REGATTA 85. 85FULL. WEEKEND motor 1.5,H2076,Z5105,J3166,
REGATTA 100S motor LANCIA 1.6,H2068,Z5105,J3166,
REGATTA 2000 motor  LANCIA 2.0,H2068,Z5105,,
REGATTA S. SC. motor TIPO 1.6,H2068,Z5105,J3178,
SIENA  EL. HL naftero motor 1.6ie.  8V-16V,H2183,,J3174 (PA),
SIENA  EL. HL. turbo diesel motor 1.7,H2075,P5136,J3174 (PA),
SIENA C/motor FIRE WAY 1.4 naftero,H2201,N1008,J3174 (PA),
SPAZIO CL. T. TR. TR lujo motor 1.3,H2076 , H2078,Z5105,J3155
SPAZIO CL. T. TR. TR lujo motor Tipo 1.4,H2076 , H2078,Z5105,J3167
SPAZIO TR motor Tipo 1.4,H2078,Z5105,J3300,
TEMPRA,H2068,,J3180,
TEMPRA 2.0 16V,H2075,,J3022 (PA),
TIPO 1.4 ie,H2076,,J3022 (PA),
TIPO 1.6 ie S. SX,H2076,,J3345 (PA),
TIPO 1.6 ie SUITE,H2076,,J3022 (PA),
TIPO 1.6 YORK,H2076,Z5105,J3022 (PA),
TIPO 1.9 diesel. turbo diesel,H2075,,J3022 (PA),
TIPO 1.9 TDUL Y SSEE,H2119,Z5133,,
TIPO 2.0 ie 16V,H2068,,J3022 (PA),
UNO 1.1 ie. SX motor 1108 CC 49 HP,H2183,,J3332 (PA),
UNO 70S (Italia),H2076,,J3318 (PA),
UNO 70 motor 1.4 turbo diesel 71 HP (Italia),H2075,,J3219 (PA),
UNO turbo ie (Italia),H2076,,J3021 (PA),
UNO 70S. SX. SL 1.3,H2076,Z5105,,
UNO SC. SCR motor Tipo1.6. SL motor Tipo1.4 (Argentina),H2076,Z5105,J3167,
UNO SC. SCR motor Tipo 1.6L. SL. Tipo 1.4 (Brasil),H2076,Z5105,J3179 (PA),
UNO ST motor Tipo 1.4,H2076,Z5105,J3300,
UNO diesel motor 1.7,H2075,P5074 , P5136,J3165 (PA)
UNO 1.3 FIRE,H2201,N1012,J3714(PA),
UNO  1.0. 1.4 EVO 8V FIRE WAY ATTRACTIVE,H2201,N1011,J3714(PA),
VIVACE motor Tipo 1.4,H2076,Z5105,J3321,
VIVACE motor Tipo 1.4,H2076,Z5105,J3300,
STRADA 1.6 16V,H2183,,J3174,
STRADA LX turbo diesel 1.7 8V,H2183,,J3174,
STRADA FIRE 1.0 8V. 16V. 1.3 16V,H2201,,J3174,
STRADA Etorq. AVENTURE 1.6 16 V,,N1011,,
STILO 16V 1.8 naftero,H2076,,J3604 (PA),
