 AGRALE,,,,,,,,,
7000 DX. 7500 DXT motor  MWM 4.10,H2021,(2) P5074,,,,,,,
BF4-150 TB motor MWM TD 229/6,H2021,(2) Z5055,,,,,,,
BX100. BX4 100. BX130. BX4 130,H2021,(2) Z5055,,J3087,J3031,,,,
BX90. DX4.90 motor MWM D229/4,H2088,(2) Z5055,,J3087,J3031,,,,
Junior motor MWM 4.10T,H2021,(2) P5074,,J3197,J3198,K4053(HI),,,
Micro T 416. TA 420. TA 440. T 4100 motor M90,H2068,P5073,,,,,,,
Micro T 4200. T 4300 motor M780,H2068,(2) P5073,,,,,,,
TX 1100 motor M790,H2068,P5073,,,,,,,
TX 1600 motor MWM D 229/3,H2088,(2) Z5055,,,,,,,
TX 1600 motor MWM D 229/3,H2088,(2) P5073,,,,,,,
TX 1800 motor MWM D 229/4,H2088,(2) Z5055,,J3034,J3035,,,,
TX 1800 motor Perkins Q20B4,H2013,(2) Z5020,,J3034,J3035,,,,
,,,,,,,,,
ALLIS CHALMERS / FIAT ALLIS,,,,,,,,,
7D. AD-7,H2001,(2) Z5020,,,,,,,
10B. FL-10B,H2001,Z5022,P5021,,,K4001(HI),,,
10C.FL-10C,H2002,P5021,,J3001,J3002,K4002(TH),,,
11B,T2003,P5023,,J3003,J3004,K4002(TH),,,
12G. 12G Serie B,(2) T2003,P5023,,J3003,J3004,K4001(TH),,,
14B,(2) H2002,Z5022,P5021,J3005,J3006,K4001(HI),,,
,(2)T2003(A),,,,,,,,
14C. FL-14C,(2) H2002,Z5022,P5021,J3001,J3002,K4001(HI),,,
21,T2003,P5023,P5054,J3095,J3008,K4004(HI),,,
0,,,,,,K4002(TH),,,
21 (algunos modelos),T2005,P5023,P5054,J3095,J3008,K4004(HI),,,
,,,,,,K4002(TH),,,
21C,H2047,P5023,,J3009,J3010,K4001(HI),,,
,T2002(A),,,,,K4002(TH),,,
21C (algunos modelos),T2003,P5023,,J3009,J3010,K4001(HI),,,
,T2005(A),,,,,K4002(TH),,,
31 (motor  Cummins),H2047,P5054,,J3009,J3010,K4001(TH),,,
,T2005(A),,,,,K4002(TH),,,
,T2007(A),,,,,,,,
80 DB motor MWM D 229-4,H2088,(2) Z5055,,J3017,J3029,,,,
FIAT ALLIS FB-80-4 motor Cummins,H2167,P5073,P5167,,,,,,
150C,T2003,Z5027,Z5028 / P5023,J3001,J3002,,,,
161,T2007,(2) P5054,,J3095,J3008,K4005(HI) ,,,
,,,,,,K4001(TH),,,
260B,(2) T2003,P5023,P5054,J3095,J3008,K4005(HI) ,,,
,(2) T2005(A),,,,,K4001(HI),,,
260E (hasta serie 8001),(2) T2003,Z5029,,,,K4006(HI),,,
,(2) T2008(A),,,,,K4001(TH),,,
260E (desde serie 8002),(2) T2003,Z5029,,J3095,J3008,K4006(HI),,,
,(2) T2005(A),,,,,K4001(TH),,,
261B,T2005 , (2) T2003,P5023,P5054,J3095,J3008,K4002(TH),,
,,,,,,,,,
460,T2003,Z5029,,,,K4006(HI),,,
,,,,,,K4010(TH),,,
460B,(2) T2003,Z5029,,J3011,,K4006(HI),,,
,(2) T2005(A),,,,,K4010(TH),,,
460C (motor GM 12V-71),T2003,Z5030,Z5031,J3095,J3008,K4011(HI),,,
,,,,,,K4010(TH),,,
545B. 605B,H2009,P5023,,J3012,J3013,K4012(HI),,,
,,,,,,K4004(TH),,,
555,(2)T2003,Z5029,,J3011,,,,,
555 turbo,T2010,Z5029,,J3011,,,,,
562C,T2003,Z5029,,J3095,J3008,K4010(TH),,,
615 gas,H2011,P5023,,J3014,,K4005(HI) ,,,
,,,,,,K4004(TH),,,
615 diesel,H2011,P5023,,J3015,,,,,
645 (hasta serie 2032),(2) H2001,,,,,,,,
645 (desde serie 2033),(2) H2009,P5023,,J3001,J3002,K4005(HI) ,,,
15. 715D (motor Perkins),H2013,(2) Z5020,,J3016,,K4034(TH),,,
745. 745H. 7458,,,,J3003,J3004,K4005(HI) ,,,
,,,,,,K4004(TH),,,
816,H2013,(2) Z5020,,J3017,J3029,K4008(HI),,,
ALLIS CHALMERS /  FIAT ALLIS (Continuación),,,,,,,,,
945. 945B,T2003,P5023,,J3095,J3008,K4004(HI),,,
,T2005(A),,,,,K4002(TH),,,
AD-9,(2) H2001,Z5022,P5021,,,K4001(HI),,,
,(2) T2003,,,,,,,,
AD-10,H2001,(2) Z5032,,J3005,J3006,K4001(HI),,,
AD-10B,(2) H2001,Z5022,P5021,J3005,J3006,K4001(HI),,,
AD-12 (hasta CH-0268),(2) T2003,,,,,K4001(HI),,,
AD-12 (hasta CH-0269),(2) T2003,,,J3005,J3006,K4001(HI),,,
AD-14,(2) T2003,Z5022,P5021,J3005,J3006,K4001(HI),,,
AD-18,T2003,,,J3018,,,,,
AD-20 (hasta M-4205),(2) T2003 ,Z5022,P5021,J3019,J3020,K4001(HI),,,
,(2) H2002,,,,,,,,
AD-20 (desde M-4206),(2) T2003 ,Z5022,P5021,,,K4001(HI),,,
,(2) H2002,,,,,,,,
