 ANSI,,,,,,,
 EQUIPO GNC GRANDE,,,,J3213,,,
 EQUIPO GNC CHICO,,,,J3212,,,
EQUIPO GNC  CHICO,,,,J3544R,,,
EQUIPO GNC  MEDIANO,,,,J3545R,,,
EQUIPO GNC  GRANDE,,,,J3546R,,,
ATLAS COPCO,,,,,,,
Motocompresor,,,,J3643,,,
BICUPIRO,,,,,,,
,,,,,K4088,J3621,
,,,,,,,
,,,,,,,
 BOUNOUS,,,,,,,
 MOTOR DIESEL,H2122,Z5088,,J3278 (AM),,,
,,,,,,,
BOBCAT,,,,,,,
773 -777,H2048,P5180( CP),,J3016,J3558,,
,,,,,,,
 BELL,,,,,,,
 CARGADORA C/ MOTOR DEUTZ 4 CIL.,H2021,P5073,Z5042,J3484,J3485,,
BRIGG STRATON,,,,,,,
CORTADORA DE CESPED(180X90X28),,,,J3630(PA),,,
CORTADORA DE CESPED(114X134X24),,,,J3631(PA),,,
CAMO,,,,,,,
CAMO- EUROPA,H2090,,,,,K4109 , K4110
CAMO 3X,H2214,,,,,,
CAMO,,,,,,,
 CIMARRON,,,,,,,
 3300 D. 3800 D,H2013,Z5020, Z5040,J3283(ch),,,
 3300 D. 3800 D,H2028,Z5020, Z5040,J3282(gde)),,,
,,,,,,,
 CUMMINS,,,,,,,
 4B,H2167,P5073,P5036,J3034,J3035,,
 4BT,H2167,P5073,P5036,J3036,J3037,,
 6BT,H2168,P5073,P5036,J3040,J3041,,
 NT 855 motor estacionario,,,,,J3443,,
,,,,,,,
DEMAG,,,,,,,
,,,,,J3595,,
DEUTZ,,,,,,,
DEUTZ 2 cilindro,H2076,P5132,,J3509R,J3510R,,
DIAR,,,,,,,
Algunos modelos,T2144,Z5089,,,,,
DYNAPAC,,,,J3591,J3592,,
,,,,,,,
LAIDONG,,,,,,,
D-495 QA 85 HP   ,H2064,P5113,,,,,
4-D-30-A 100 HP,H2064,P5113,,,,,
D-495 QA 85 HP   ,T2194,Z5158,,,,,
L-480 55HP,T2193,Z5159,,,,,
695 GC-135HP,H2089,,,,,,
LOMBARDINI,,,,,,,
LONBARDINI 3 CIL.,,,,J3014 CD,J3642PA,,
,,,,,,,
MERLO,,,,,,,
MERLO,,,,J3679R,J3680R,,
,,,,,,,
 NISSAN,,,,,,,
Motores algunos,H2112,P5078,,,,,
GRUA motor V 8,T2210,,,,,,
,,,,,,,
NEW CARCASA,,,,,,,
EQUIPO GNC,,,,J3649,,,
,,,,,,,
PERKINS,,,,,,,
3-152. 4-203. 6-305,T2035,Z5071,,,,,
3-152. 4-203,H2013,Z5020 ,Z5020,,,,
4-PA 203 POTENCIADO,H2013,Z5020 ,Z5020,J3184,,,
4-PA 203 POTENCIADO,H2013,Z5020,Z5020,J3195,,,
6-354,T2035,Z5077,Z5035,,,,
6-354T. 6-354 F4. 6PF 305,H2015,Z5020 ,Z5020,,,,
PHASER 110 TI,H2013,Z5020 ,Z5020,,,,
PRIMA 4.20,H2114,Z5020 ,P5073,,J3192,,
PRIMA 4.20 ,H2114,Z5020 ,P5073,J3034,J3035,,
PRIMA 4.20. PRIMA T-20. PRIMA 65,H2114,Z5020 ,P5073,J3032, J3033,,
T-4.3-3,H2013,Z5020 ,Z5020,J3034,J3035,,
V8 turbo,(2) H2015,(2) Z5056,,J3087,J3031,,
Grupo Electrógeno Inglés Intercoler 3000. 3012 675cua 30.8 500cva,H2211,P5154,,J3590R,,,
COMPRESOR PERKINS,,,,INTER,,,
EQUIPO SALVE II,,,,J3676,,,
,,,,,,,
POCLAIN,,,,,,,
90 CK  C/MOTOR DEUTZ 6 CIL.,,,,,,K4104 K4105,
,,,,,,,
TIGER CAT ,,,,,,,
GRUA TIGER CAT ,,,,J3695R,J3696R,,
 THERMO KING,,,,,,,
 EQUIPO DE FRÍO ,H2089,P5137,P5138,,,,
 EQUIPO DE FRIO,H2185,,,,,,
,,,,,,,
 TOYOTA,,,,,,,
Algunos motores,T2177,P5078,,,,,
,,,,,,,
GEHL,,,,K4112,,,
 ,,,,,,,
VENTURI,,,,,,,
00325469,,,,K4088,,,
,,,,,,,
VILLA,,,,,,,
RV 650. RV 900,H2123,,,,,,
Villa Tecumseh tractor corta cesped 8hp,,,,J3126,,,
,,,,,,,
VOLVO,,,,,,,
Penta marino,H2064,,,,,,
,,,,,,,
SAMSUNG,,,,,K4107,,
,,,,,,,
SULLAIR,,,,,,,
,,,,J3595,,,
FIAT,,,,,,,
MOTOR FIAT 230 (N·17893),,P5178,,,,,
,,,,,,,
YALMAR,,,,,,,
,,Z5195,,,,,
,,,,,,,
KOBELCO,,P5203 C/P,,,,,
,,,,,,,
KUBOTA,,,,,,,
MOTOSOLDADOR,,Z5209,,,,,
